Word,Count
*,7425
,3658
the,3348
to,1542
a,1122
is,1119
of,1118
be,1099
for,842
and,827
The,733
or,691
not,689
in,678
this,649
\brief,578
software,570
This,542
*<,515
on,494
you,485
\param,469
if,437
any,416
\sa,410
it,391
function,389
use,387
must,383
will,381
that,371
from,362
with,346
as,316
an,313
window,295
If,273
are,270
set,257
0,244
SDL,243
can,239
when,230
event,223
\return,213
using,206
effect,202
by,199
-,194
source,191
audio,190
may,189
A,182
device,182
should,180
**,173
but,169
original,168
data,166
variable,163
-1,161
used,157
Get,157
value,155
error,147
returns,145
following,142
1,140
NULL,137
C,137
current,132
no,131
which,127
Set,126
C++,124
In,123
number,119
surface,118
pointer,116
functions,112
without,110
being,110
at,109
all,108
has,103
\c,101
file,101
joystick,99
would,98
removed,98
haptic,97
format,96
required,96
product,96
events,96
provided,94
notice,94
2,94
documentation,91
renderer,91
texture,91
channel,91
have,90
versions,90
including,90
Enable,89
3,88
Copyright,88
available,87
Permission,87
default,87
subject,87
up,86
your,85
\such,\,85
\success,\,84
size,84
origin,83
(C),82
held,82
marked,81
only,80
appreciated,80
anyone,80
express,80
altered,80
damages,80
warranty,80
\product,\,80
mode,80
plainly,80
Altered,80
misrepresented;,80
commercial,80
\'as-is',\,80
\freely,\,80
authors,80
implied,80
\applications,\,80
Layer,80
acknowledgment,80
redistribute,80
arising,80
\purpose,\,80
granted,80
alter,80
liable,80
claim,80
wrote,80
before,80
misrepresented,80
distribution,80
restrictions:,80
string,79
Simple,79
Sam,79
library,79
Lantinga,79
<slouken@libsdl.org>,79
=,78
DirectMedia,76
state,76
structure,75
\file,73
version,72
callback,72
mouse,71
call,71
rendering,70
definitions,69
OpenGL,68
You,67
supported,67
1997-2018,67
given,65
called,65
\note,64
so,64
even,64
support,63
thread,63
application,62
type,62
Returns,61
button,61
return,60
index,60
//,60
hint,59
sw=4,58
\definitions,\,58
expandtab:,58
vi:,58
pixel,58
ts=4,58
more,57
name,56
Ends,56
extension,56
values,55
code,55
valid,55
stream,55
new,54
was,52
test,52
system,50
buffer,49
been,49
OR,49
|,49
whether,48
after,48
same,48
values:,47
into,46
controller,46
integer,46
effects,46
display,46
context,45
defined,45
color,45
input,45
specific,45
time,44
specified,44
need,43
API,43
random,43
\"\0"\\,43
Windows,42
some,42
channels,42
they,42
\"\1"\\,42
THE,42
copy,41
other,41
its,41
keyboard,41
flags,41
boundary,41
position,40
otherwise,40
alpha,40
one,40
do,40
types,40
screen,40
filled,40
@{,39
ID,39
music,39
\returns,39
@},39
instead,39
currently,38
between,38
then,38
\window,\,38
various,38
key,38
driver,37
target,37
bit,37
These,37
\name,37
there,37
isn't,36
associated,36
information,36
them,36
these,36
true,36
we,36
message,35
output,35
operations,35
uses,35
tokens,34
passed,34
axis,34
enabled,34
Vulkan,34
also,33
run,33
queue,33
created,33
video,33
through,33
relative,33
/,33
x,33
pixels,32
signed,32
range,32
rectangle,32
first,32
path,31
SDL_FALSE,31
change,31
playing,31
For,30
get,30
unsigned,30
bytes,30
instance,30
OS,30
sound,30
No,30
opened,30
SDL_TRUE,29
see,29
such,29
don't,29
like,29
platform,29
returned,29
text,29
out,29
does,29
Create,28
IN,28
controlling,28
int,28
\milliseconds,\,28
Khronos,28
possible,28
OF,28
length,28
blend,27
create,27
------------------------------------------------------------------------*,27
*------------------------------------------------------------------------,27
query,27
It,27
list,27
start,27
direction,27
zero,27
macro,27
By,27
drivers,27
might,27
\0,\,26
X,26
Include,26
main,26
mixer,26
blit,26
CPU,26
drawing,26
coordinates,26
lock,26
mapping,26
SDL_GetTicks(),26
windows,25
On,25
calling,25
always,25
An,25
populated,25
since,25
user,25
than,25
area,25
features,24
width,24
UTF-8,24
internal,24
iOS,24
parameters,24
SDL_FALSE),24
playback,24
free,24
about,24
object,24
height,24
maximum,24
two,23
case,23
done,23
where,23
header,23
app,23
Haptic,23
y,23
devices,23
Mac,23
within,23
id,23
each,23
just,23
||,22
want,22
memory,22
Load,22
while,22
condition,22
it's,22
left,22
mixed,22
timer,22
point,21
included,21
end,21
generated,21
extensions,21
ES,21
Function,21
introduced,21
Window,20
doesn't,20
what,20
final,20
render,20
NOT,20
Joystick,20
\,20
Use,20
enable,20
update,20
cursor,20
Y,20
255,20
draw,20
mixing,20
Android,20
\data,\,20
systems,19
atomic,19
resolution,19
retrieved,19
messages,19
motion,19
entire,19
special,19
files,19
add,19
axes,19
focus,19
setting,19
both,19
either,19
here,19
parameter,19
their,19
volume,19
already,18
handle,18
specify,18
const,18
loaded,18
limit,18
flag,18
Setting,18
fill,18
window's,18
Audio,18
Header,18
Mix_RegisterEffect(),18
chunk,18
\NULL,\,18
coordinate,18
SDL_mixer,18
internally,18
Materials,18
based,18
MATERIALS,18
\time,\,18
right,18
count,17
Device,17
byte,17
pass,17
initialized,17
against,17
log,17
containing,17
open,17
load,17
success,17
bits,17
order,17
\library,\,17
game,17
(no,17
last,17
{,17
Return,17
etc,17
SIGN,17
simple,17
Duration,17
defines,17
Pointer,17
make,17
prototypes,17
still,16
float,16
Note,16
next,16
storing,16
boundary1,16
Error,16
disabled,16
shared,16
boundaries,16
queried,16
samples,16
validDomain,16
array,16
generate,16
\effect,\,16
copies,16
never,16
headers,16
force,16
additional,16
Mix_GetError(),16
8,16
own,16
WinRT,16
assertion,16
group,16
64,16
nonzero,16
rectangles,16
allocated,16
compiled,15
sample,15
back,15
mask,15
control,15
client,15
destination,15
filter,15
$,15
touch,15
and/or,15
\code,15
assert,15
},15
invalid,15
Visual,15
conversion,15
usage,15
stop,15
When,15
\use,\,15
part,15
until,15
most,15
custom,15
changes,15
points,15
\endcode,15
priority,15
Add,15
+,15
link,14
static,14
capture,14
32,14
characters,14
MIX_CHANNEL_POST,14
sure,14
native,14
supports,14
ANY,14
Mouse,14
OTHER,14
read,14
rect,14
modify,14
(the,14
different,14
Note:,14
compiler,14
FOR,14
wave,14
100,14
needs,14
could,14
clipping,14
platforms,14
framework,14
dependent,14
